"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
0,0,0,0,6,1,0,0,3,25,2,2,3,2,3,9,5,9,3,8,1,1,9,9,1,1,1,1,1,0,1,2,1,1,1,1
978.260869565217,978.260869565217,978.260869565217,49,162,16,360,360,28,612,23,23,57,30,100,139,123,168,76,110,39,21,120,377,59,38,52,58,18,64,56,107,102,96,27,44
0,0,0,0,0,22,0,0,131,0,0,0,0,0,9,0,0,1,31,2,1,436,0,0,34,169,11,0,5,1,3,0,78,0,32,835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,31,3,0,0,20,0,9,9,364,48,7,0,0,1,228,3,20,24,2,0,27,37,53,0,3,4,48,23,9,13,23,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,181,40,0,0,108,62,14,14,30,22,2,50,0,49,18,39,12,33,19,7,37,9,40,7,16,9,13,0,0,0,13,33
0,0,0,13,153,24,0,0,73,336,22,22,0,44,89,135,0,168,40,119,18,30,180,210,20,15,14,0,24,11,8,0,0,0,28,35
0,0,0,187,401,260,0,0,196,332,176,176,340,299,270,387,0,291,417,363,150,247,369,287,166,267,181,0,147,119,109,370,399,370,204,320
0,0,0,14,25,11,0,0,22,184,12,12,25,15,37,50,0,48,22,48,12,14,36,127,12,12,10,0,13,7,12,33,0,33,10,12
0,0,0,0,14,0,0,0,1,7,0,0,0,1,1,1,0,4,1,3,1,0,3,16,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,1,0,0,3,25,2,2,3,2,3,9,5,9,3,8,1,1,9,9,1,1,1,1,1,0,1,2,1,1,1,1
0,0,0,0,0,22,0,0,131,0,0,0,0,0,9,0,0,1,31,2,1,436,0,0,34,169,11,0,5,1,3,0,78,0,32,835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,31,3,0,0,20,0,9,9,364,48,7,0,0,1,228,3,20,24,2,0,27,37,53,0,3,4,48,23,9,13,23,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,181,40,0,0,108,62,14,14,30,22,2,50,0,49,18,39,12,33,19,7,37,9,40,7,16,9,13,0,0,0,13,33
0,0,0,13,153,24,0,0,73,336,22,22,0,44,89,135,0,168,40,119,18,30,180,210,20,15,14,0,24,11,8,0,0,0,28,35
0,0,0,187,401,260,0,0,196,332,176,176,340,299,270,387,0,291,417,363,150,247,369,287,166,267,181,0,147,119,109,370,399,370,204,320
0,0,0,14,25,11,0,0,22,184,12,12,25,15,37,50,0,48,22,48,12,14,36,127,12,12,10,0,13,7,12,33,0,33,10,12
0,0,0,0,14,0,0,0,1,7,0,0,0,1,1,1,0,4,1,3,1,0,3,16,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
